Chrom	Start	End	Strand	Size	Method	Cell line	Tissue	Species	Genome	Organ	Reference	Pubmed
chr10	28748461	28748574	.	113	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	28756080	28756160	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	28776857	28776937	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	28792679	28792946	.	267	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	28794377	28794457	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	28809214	28809306	.	92	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	28812979	28813064	.	85	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29056140	29056283	.	143	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29061686	29061774	.	88	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29091709	29091789	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29215323	29215460	.	137	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29220099	29220179	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29269372	29269452	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29288022	29288102	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29290067	29290157	.	90	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29302950	29303030	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29330129	29330209	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29358015	29358186	.	171	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29368235	29368315	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29458171	29458251	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29526803	29527076	.	273	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29661956	29662189	.	233	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29815723	29815845	.	122	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	29840317	29840397	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	30070881	30070961	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31173190	31173270	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31266486	31266566	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31303565	31303658	.	93	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31306603	31306683	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31312677	31312812	.	135	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31441366	31441633	.	267	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31511670	31511754	.	84	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31578965	31579045	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31634860	31634940	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31635153	31635324	.	171	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31635763	31635853	.	90	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31680509	31680639	.	130	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31702551	31702631	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31719210	31719290	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31740538	31740833	.	295	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31769851	31769931	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31792943	31793023	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31812127	31812207	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31826291	31826371	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31831901	31831981	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	31889207	31889327	.	120	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32092360	32092440	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32096327	32096407	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32123020	32123107	.	87	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32135395	32135681	.	286	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32143418	32143498	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32163901	32164100	.	199	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32170488	32170581	.	93	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32170622	32170702	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32173489	32173631	.	142	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32224041	32224121	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32232706	32232802	.	96	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32232952	32233032	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32237306	32237386	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32242195	32242275	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32242362	32242506	.	144	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32245262	32245342	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32296718	32296798	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32298137	32298253	.	116	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32298548	32298628	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32304775	32304855	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32318875	32318995	.	120	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32320459	32320551	.	92	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32321481	32321565	.	84	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32328833	32328913	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32330493	32330579	.	86	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32331524	32331619	.	95	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32334320	32334400	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32359600	32359691	.	91	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32362648	32362728	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32367166	32367246	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32851786	32851876	.	90	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32859070	32859150	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32871934	32872230	.	296	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32879981	32880071	.	90	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	32950577	32950657	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	33055329	33055409	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	33082508	33082588	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	33116935	33117015	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	33137248	33137328	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	33153717	33153797	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	34106753	34106897	.	144	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	34209676	34209799	.	123	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	34218609	34218789	.	180	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	34345067	34345262	.	195	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	34672540	34672722	.	182	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	34694792	34695038	.	246	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	34695237	34695465	.	228	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	34695870	34695950	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35116605	35116685	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35116794	35117022	.	228	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35119725	35119879	.	154	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35132640	35132733	.	93	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35135960	35136047	.	87	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35153134	35153250	.	116	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35172090	35172228	.	138	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35211739	35211949	.	210	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35217206	35217315	.	109	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35221930	35222055	.	125	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35240645	35240799	.	154	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35248780	35249075	.	295	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35260367	35260532	.	165	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35309988	35310068	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35312179	35312279	.	100	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35314247	35314334	.	87	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35329326	35329406	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35358709	35358817	.	108	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35790513	35790597	.	84	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35795475	35795555	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35796097	35796177	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35800722	35800814	.	92	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35816198	35816303	.	105	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35827791	35827939	.	148	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35833401	35833567	.	166	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35841373	35841459	.	86	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	35860404	35860484	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	36005159	36005241	.	82	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	36210861	36210942	.	81	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	36436649	36436729	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	36599702	36599782	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	36664602	36664711	.	109	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	36689309	36689404	.	95	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	36722308	36722388	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	36860848	36860928	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	36878314	36878394	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	37041387	37041483	.	96	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	37491321	37491401	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	37634462	37634542	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	38078296	38078391	.	95	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	38101264	38101344	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	38154142	38154268	.	126	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	38155761	38155843	.	82	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	38164604	38164708	.	104	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	38174839	38174985	.	146	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	38179334	38179414	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	38219823	38219980	.	157	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	38325466	38325637	.	171	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	38600382	38600470	.	88	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	38951764	38951844	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	42505466	42505569	.	103	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	42650780	42650860	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	42832771	42832851	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	42874166	42874250	.	84	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	42877828	42877977	.	149	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	42894388	42894481	.	93	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	42926647	42926798	.	151	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	42974187	42974341	.	154	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43010535	43010626	.	91	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43014427	43014507	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43043128	43043208	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43056880	43056960	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43107317	43107592	.	275	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43110913	43111031	.	118	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43114712	43114793	.	81	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43118031	43118190	.	159	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43192505	43192629	.	124	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43193869	43193955	.	86	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43200346	43200426	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43224565	43224645	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43226835	43226982	.	147	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43230131	43230507	.	376	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43232693	43232803	.	110	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43286430	43286510	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43343863	43343999	.	136	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43468034	43468114	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	43482244	43482324	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44020085	44020172	.	87	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44036123	44036203	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44072997	44073130	.	133	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44089496	44089603	.	107	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44095758	44095908	.	150	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44119450	44119558	.	108	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44131401	44131514	.	113	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44133485	44133565	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44183997	44184077	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44303307	44303387	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44426816	44426896	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44443917	44443997	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44500993	44501073	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	44547792	44547915	.	123	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	45112046	45112126	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	45247745	45247825	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	45333384	45333464	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	45392639	45392724	.	85	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	45750717	45750797	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	45756079	45756217	.	138	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	45768577	45768661	.	84	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	45769726	45769853	.	127	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	45769948	45770226	.	278	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	45771677	45771810	.	133	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	46220426	46220506	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	46335042	46335205	.	163	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	46343981	46344186	.	205	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	47380839	47380919	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	48049140	48049220	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	48315699	48315799	.	100	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	48876237	48876352	.	115	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	48929241	48929322	.	81	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	50946753	50946833	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	50958984	50959097	.	113	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	51012209	51012289	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	51019446	51019546	.	100	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	51092030	51092117	.	87	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	51553498	51553589	.	91	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	51772497	51772579	.	82	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	51809562	51809740	.	178	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	51816905	51816993	.	88	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	51819519	51819599	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52061547	52061729	.	182	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52061874	52062388	.	514	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52062443	52062523	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52062924	52063090	.	166	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52063222	52063468	.	246	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52186486	52186634	.	148	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52194166	52194246	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52204111	52204200	.	89	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52216772	52216852	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52217277	52217357	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52224008	52224160	.	152	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52246080	52246160	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52283732	52283921	.	189	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52347951	52348159	.	208	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52349031	52349111	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52457263	52457346	.	83	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52462941	52463021	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52464339	52464486	.	147	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52464572	52464652	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52478994	52479074	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52492999	52493092	.	93	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52567051	52567183	.	132	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52569643	52569723	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52578812	52578892	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52594618	52594723	.	105	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52606095	52606175	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52609702	52609788	.	86	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52617343	52617451	.	108	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52636795	52636875	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52702286	52702380	.	94	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52840123	52840205	.	82	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52840433	52840513	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52842247	52842327	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52852263	52852394	.	131	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52854590	52854670	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52858430	52858510	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52899962	52900042	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52906667	52906747	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52923304	52923384	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52928695	52928825	.	130	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52930997	52931077	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52960408	52960488	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52963202	52963282	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52981278	52981358	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	52984372	52984452	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53007959	53008039	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53008186	53008292	.	106	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53034781	53034889	.	108	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53127211	53127302	.	91	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53130612	53130717	.	105	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53196317	53196397	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53196694	53196774	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53271045	53271140	.	95	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53274947	53275027	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53327203	53327283	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53331963	53332043	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53333635	53333786	.	151	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53341283	53341363	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53345676	53345759	.	83	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53403453	53403533	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53408046	53408143	.	97	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53410199	53410279	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53439313	53439393	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53453841	53454178	.	337	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53462050	53462137	.	87	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53466021	53466107	.	86	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53511898	53511978	.	80	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53519564	53519681	.	117	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53519984	53520090	.	106	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53520944	53521045	.	101	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
chr10	53592754	53592991	.	237	KmerTR	K562	Blood	Homo sapiens	hg19	Blood	.	.
